sl,token_index,reading,form,lemma,pos,morph,gloss
168,1,πρὸ δὲ τοῦ σιωπῆσαι τὸν πρωτότοκον,πρὸ,πρό,prep,+gen,before
168,2,πρὸ δὲ τοῦ σιωπῆσαι τὸν πρωτότοκον,δὲ,δέ,ptcl,postpos advrs ptcl,and; now
168,3,πρὸ δὲ τοῦ σιωπῆσαι τὸν πρωτότοκον,τοῦ,ὁ,art,gen sg n,the
168,4,πρὸ δὲ τοῦ σιωπῆσαι τὸν πρωτότοκον,σιωπῆσαι,σιωπάω,verb,aor act inf,to fall silent
168,5,πρὸ δὲ τοῦ σιωπῆσαι τὸν πρωτότοκον,τὸν,ὁ,art,acc sg m,the
168,6,πρὸ δὲ τοῦ σιωπῆσαι τὸν πρωτότοκον,πρωτότοκον,πρωτότοκος,adj,acc sg m,firstborn
169,1,ἡ μακρὰ σιωπὴ κατέσχεν αὐτὸν προσειποῦσα.,ἡ,ὁ,art,nom sg f,the
169,2,ἡ μακρὰ σιωπὴ κατέσχεν αὐτὸν προσειποῦσα.,μακρὰ,μακρός,adj,nom sg f,long
169,3,ἡ μακρὰ σιωπὴ κατέσχεν αὐτὸν προσειποῦσα.,σιωπὴ,σιωπή,noun,nom sg f,silence
169,4,ἡ μακρὰ σιωπὴ κατέσχεν αὐτὸν προσειποῦσα.,κατέσχεν,κατέχω,verb,aor act ind 3sg,held fast; seized
169,5,ἡ μακρὰ σιωπὴ κατέσχεν αὐτὸν προσειποῦσα.,αὐτόν,αὐτός,pron,acc sg m,him
169,6,ἡ μακρὰ σιωπὴ κατέσχεν αὐτὸν προσειποῦσα.,προσειποῦσα,προσειπέω,ptcp,pres act ptcp nom sg f,addressing; speaking to
170,1,Πρωτότοκος ἐμὸς εἶ,Πρωτότοκος,πρωτότοκος,adj,nom sg m,firstborn
170,2,Πρωτότοκος ἐμὸς εἶ,ἐμὸς,ἐμός,adj,nom sg m,my
170,3,Πρωτότοκος ἐμὸς εἶ,εἶ,εἰμί,verb,pres act ind 2sg,you are
171,1,ἐγώ σοι πέπρωμαι ἡ τοῦ θανάτου σιωπή.,ἐγώ,ἐγώ,pron,nom sg,I
171,2,ἐγώ σοι πέπρωμαι ἡ τοῦ θανάτου σιωπή.,σοι,σύ,pron,dat sg,to you
171,3,ἐγώ σοι πέπρωμαι ἡ τοῦ θανάτου σιωπή.,πέπρωμαι,πείρω/πείρομαι,verb,pf mp ind 1sg,have been allotted; am destined
171,4,ἐγώ σοι πέπρωμαι ἡ τοῦ θανάτου σιωπή.,ἡ,ὁ,art,nom sg f,the
171,5,ἐγώ σοι πέπρωμαι ἡ τοῦ θανάτου σιωπή.,τοῦ,ὁ,art,gen sg m,of the
171,6,ἐγώ σοι πέπρωμαι ἡ τοῦ θανάτου σιωπή.,θανάτου,θάνατος,noun,gen sg m,death
171,7,ἐγώ σοι πέπρωμαι ἡ τοῦ θανάτου σιωπή.,σιωπή,σιωπή,noun,nom sg f,silence
173,1,ἕτερος δέ τις πρωτότοκος νοήσας τὴν τῶν πρωτοτόκων ἅλωσιν,ἕτερος,ἕτερος,adj,nom sg m,another
173,2,ἕτερος δέ τις πρωτότοκος νοήσας τὴν τῶν πρωτοτόκων ἅλωσιν,δέ,δέ,ptcl,postpos advrs ptcl,and; but
173,3,ἕτερος δέ τις πρωτότοκος νοήσας τὴν τῶν πρωτοτόκων ἅλωσιν,τις,τις,pron,indef pron nom sg m,a certain one
173,4,ἕτερος δέ τις πρωτότοκος νοήσας τὴν τῶν πρωτοτόκων ἅλωσιν,πρωτότοκος,πρωτότοκος,adj,nom sg m,firstborn
173,5,ἕτερος δέ τις πρωτότοκος νοήσας τὴν τῶν πρωτοτόκων ἅλωσιν,νοήσας,νοέω,ptcp,aor act ptcp nom sg m,having perceived
173,6,ἕτερος δέ τις πρωτότοκος νοήσας τὴν τῶν πρωτοτόκων ἅλωσιν,τὴν,ὁ,art,acc sg f,the
173,7,ἕτερος δέ τις πρωτότοκος νοήσας τὴν τῶν πρωτοτόκων ἅλωσιν,τῶν,ὁ,art,gen pl m,of the
173,8,ἕτερος δέ τις πρωτότοκος νοήσας τὴν τῶν πρωτοτόκων ἅλωσιν,πρωτοτόκων,πρωτότοκος,adj,gen pl m,firstborn
173,9,ἕτερος δέ τις πρωτότοκος νοήσας τὴν τῶν πρωτοτόκων ἅλωσιν,ἅλωσιν,ἅλωσις,noun,acc sg f,capture; seizure
174,1,ἑαυτὸν ἀπαρνεῖτο ἵνα μὴ θάνῃ πικρῶς.,ἑαυτόν,ἑαυτοῦ,pron,acc sg m,himself
174,2,ἑαυτὸν ἀπαρνεῖτο ἵνα μὴ θάνῃ πικρῶς.,ἀπαρνεῖτο,ἀπαρνέομαι,verb,impf mid ind 3sg,was denying
174,3,ἑαυτὸν ἀπαρνεῖτο ἵνα μὴ θάνῃ πικρῶς.,ἵνα,ἵνα,conj,subord conj,in order that
174,4,ἑαυτὸν ἀπαρνεῖτο ἵνα μὴ θάνῃ πικρῶς.,μὴ,μή,ptcl,neg ptcl,not
174,5,ἑαυτὸν ἀπαρνεῖτο ἵνα μὴ θάνῃ πικρῶς.,θάνῃ,θνῄσκω,verb,aor act subj 3sg,he may die
174,6,ἑαυτὸν ἀπαρνεῖτο ἵνα μὴ θάνῃ πικρῶς.,πικρῶς,πικρῶς,adv,adv,bitterly
175,1,"Οὐκ εἰμί πρωτότοκος,",Οὐκ,οὐ,ptcl,neg ptcl,not
175,2,"Οὐκ εἰμί πρωτότοκος,",εἰμί,εἰμί,verb,pres act ind 1sg,I am
175,3,"Οὐκ εἰμί πρωτότοκος,",πρωτότοκος,πρωτότοκος,adj,nom sg m,firstborn
176,1,τριτῷ γεγέννημαι καρπῷ.,τριτῷ,τρίτος,adj,dat sg m,third
176,2,τριτῷ γεγέννημαι καρπῷ.,γεγέννημαι,γεννάω,verb,pf mp ind 1sg,have been born
176,3,τριτῷ γεγέννημαι καρπῷ.,καρπῷ,καρπός,noun,dat sg m,fruit; offspring
177,1,"ὁ δὲ ψευσθῆναι μὴ δυνάμενος τοῦ πρωτοτόκου προσήπτετο,",ὁ,ὁ,art,nom sg m,the
177,2,"ὁ δὲ ψευσθῆναι μὴ δυνάμενος τοῦ πρωτοτόκου προσήπτετο,",δὲ,δέ,ptcl,postpos advrs ptcl,but
177,3,"ὁ δὲ ψευσθῆναι μὴ δυνάμενος τοῦ πρωτοτόκου προσήπτετο,",ψευσθῆναι,ψεύδω,verb,aor pass inf,to lie; to be deceived
177,4,"ὁ δὲ ψευσθῆναι μὴ δυνάμενος τοῦ πρωτοτόκου προσήπτετο,",μὴ,μή,ptcl,neg ptcl,not
177,5,"ὁ δὲ ψευσθῆναι μὴ δυνάμενος τοῦ πρωτοτόκου προσήπτετο,",δυνάμενος,δύναμαι,ptcp,pres mid ptcp nom sg m,being able
177,6,"ὁ δὲ ψευσθῆναι μὴ δυνάμενος τοῦ πρωτοτόκου προσήπτετο,",τοῦ,ὁ,art,gen sg m,of the
177,7,"ὁ δὲ ψευσθῆναι μὴ δυνάμενος τοῦ πρωτοτόκου προσήπτετο,",πρωτοτόκου,πρωτότοκος,adj,gen sg m,firstborn
177,8,"ὁ δὲ ψευσθῆναι μὴ δυνάμενος τοῦ πρωτοτόκου προσήπτετο,",προσήπτετο,προσάπτω,verb,impf mid ind 3sg,clung to; attached himself to
178,1,πρηνὴς δὲ ἔπιπτεν σιγῶν.,πρηνὴς,πρηνής,adj,nom sg m,prone; face-down
178,2,πρηνὴς δὲ ἔπιπτεν σιγῶν.,δὲ,δέ,ptcl,postpos advrs ptcl,and; but
178,3,πρηνὴς δὲ ἔπιπτεν σιγῶν.,ἔπιπτεν,πίπτω,verb,impf act ind 3sg,was falling
178,4,πρηνὴς δὲ ἔπιπτεν σιγῶν.,σιγῶν,σιγάω,ptcp,pres act ptcp nom sg m,being silent
179,1,ὑπὸ δὲ μίαν ῥοπὴν ὁ πρωτότοκος καρπὸς τῶν Αἰγυπτίων ἀπώλετο.,ὑπὸ,ὑπό,prep,+acc,under; in
179,2,ὑπὸ δὲ μίαν ῥοπὴν ὁ πρωτότοκος καρπὸς τῶν Αἰγυπτίων ἀπώλετο.,δὲ,δέ,ptcl,postpos advrs ptcl,and; but
179,3,ὑπὸ δὲ μίαν ῥοπὴν ὁ πρωτότοκος καρπὸς τῶν Αἰγυπτίων ἀπώλετο.,μίαν,εἷς,adj,acc sg f,one
179,4,ὑπὸ δὲ μίαν ῥοπὴν ὁ πρωτότοκος καρπὸς τῶν Αἰγυπτίων ἀπώλετο.,ῥοπὴν,ῥοπή,noun,acc sg f,swoop; instant
179,5,ὑπὸ δὲ μίαν ῥοπὴν ὁ πρωτότοκος καρπὸς τῶν Αἰγυπτίων ἀπώλετο.,ὁ,ὁ,art,nom sg m,the
179,6,ὑπὸ δὲ μίαν ῥοπὴν ὁ πρωτότοκος καρπὸς τῶν Αἰγυπτίων ἀπώλετο.,πρωτότοκος,πρωτότοκος,adj,nom sg m,firstborn
179,7,ὑπὸ δὲ μίαν ῥοπὴν ὁ πρωτότοκος καρπὸς τῶν Αἰγυπτίων ἀπώλετο.,καρπὸς,καρπός,noun,nom sg m,fruit; offspring
179,8,ὑπὸ δὲ μίαν ῥοπὴν ὁ πρωτότοκος καρπὸς τῶν Αἰγυπτίων ἀπώλετο.,τῶν,ὁ,art,gen pl f,of the
179,9,ὑπὸ δὲ μίαν ῥοπὴν ὁ πρωτότοκος καρπὸς τῶν Αἰγυπτίων ἀπώλετο.,Αἰγυπτίων,Αἰγύπτιος,noun,gen pl m,Egyptians
179,10,ὑπὸ δὲ μίαν ῥοπὴν ὁ πρωτότοκος καρπὸς τῶν Αἰγυπτίων ἀπώλετο.,ἀπώλετο,ἀπόλλυμι,verb,aor mid ind 3sg,perished; was destroyed
180,1,"ὁ πρωτόσπορος,",ὁ,ὁ,art,nom sg m,the
180,2,"ὁ πρωτόσπορος,",πρωτόσπορος,πρωτόσπορος,adj,nom sg m,first-sown; firstborn
181,1,"ὁ πρωτότοκος,",ὁ,ὁ,art,nom sg m,the
181,2,"ὁ πρωτότοκος,",πρωτότοκος,πρωτότοκος,adj,nom sg m,firstborn
182,1,"ὁ ποθητός,",ὁ,ὁ,art,nom sg m,the
182,2,"ὁ ποθητός,",ποθητός,ποθητός,adj,nom sg m,desired; beloved
183,1,ὁ περίψυκτος ἐδαφίσθη χαμαί.,ὁ,ὁ,art,nom sg m,the
183,2,ὁ περίψυκτος ἐδαφίσθη χαμαί.,περίψυκτος,περίψυκτος,adj,nom sg m,dearly cherished
183,3,ὁ περίψυκτος ἐδαφίσθη χαμαί.,ἐδαφίσθη,ἐδαφίζω,verb,aor pass ind 3sg,was thrown down; was dashed to the ground
183,4,ὁ περίψυκτος ἐδαφίσθη χαμαί.,χαμαί,χαμαί,adv,adv,to the ground
184,1,"οὐχ ὁ τῶν ἀνθρώπων μόνον,",οὐχ,οὐ,ptcl,neg ptcl,not
184,2,"οὐχ ὁ τῶν ἀνθρώπων μόνον,",ὁ,ὁ,art,nom sg m,the
184,3,"οὐχ ὁ τῶν ἀνθρώπων μόνον,",τῶν,ὁ,art,gen pl m,of the
184,4,"οὐχ ὁ τῶν ἀνθρώπων μόνον,",ἀνθρώπων,ἄνθρωπος,noun,gen pl m,humans
184,5,"οὐχ ὁ τῶν ἀνθρώπων μόνον,",μόνον,μόνον,adv,adv,only
185,1,ἀλλὰ καὶ τῶν ἀλόγων ζώων.,ἀλλὰ,ἀλλά,conj,advrs conj,but
185,2,ἀλλὰ καὶ τῶν ἀλόγων ζώων.,καὶ,καί,conj,coord conj,also
185,3,ἀλλὰ καὶ τῶν ἀλόγων ζώων.,τῶν,ὁ,art,gen pl n,of the
185,4,ἀλλὰ καὶ τῶν ἀλόγων ζώων.,ἀλόγων,ἄλογος,adj,gen pl n,irrational; speechless
185,5,ἀλλὰ καὶ τῶν ἀλόγων ζώων.,ζώων,ζῷον,noun,gen pl n,animals
186,1,μύκημα δὲ ἐν τοῖς πεδίοις τῆς γῆς ἠκούετο,μύκημα,μύκημα,noun,nom sg n,moaning; lowing
186,2,μύκημα δὲ ἐν τοῖς πεδίοις τῆς γῆς ἠκούετο,δὲ,δέ,ptcl,postpos advrs ptcl,and; now
186,3,μύκημα δὲ ἐν τοῖς πεδίοις τῆς γῆς ἠκούετο,ἐν,ἐν,prep,+dat,in
186,4,μύκημα δὲ ἐν τοῖς πεδίοις τῆς γῆς ἠκούετο,τοῖς,ὁ,art,dat pl n,the
186,5,μύκημα δὲ ἐν τοῖς πεδίοις τῆς γῆς ἠκούετο,πεδίοις,πεδίον,noun,dat pl n,plains; fields
186,6,μύκημα δὲ ἐν τοῖς πεδίοις τῆς γῆς ἠκούετο,τῆς,ὁ,art,gen sg f,of the
186,7,μύκημα δὲ ἐν τοῖς πεδίοις τῆς γῆς ἠκούετο,γῆς,γῆ,noun,gen sg f,land
186,8,μύκημα δὲ ἐν τοῖς πεδίοις τῆς γῆς ἠκούετο,ἠκούετο,ἀκούω,verb,impf mp ind 3sg,was heard
187,1,ἀποδυρομένων κτηνῶν ἐπὶ τῶν τροφίμων αὐτῶν.,ἀποδυρομένων,ἀποδύρομαι,ptcp,pres mid ptcp gen pl n/m,lamenting; bewailing
187,2,ἀποδυρομένων κτηνῶν ἐπὶ τῶν τροφίμων αὐτῶν.,κτηνῶν,κτῆνος,noun,gen pl n,beasts
187,3,ἀποδυρομένων κτηνῶν ἐπὶ τῶν τροφίμων αὐτῶν.,ἐπὶ,ἐπί,prep,+gen,over
187,4,ἀποδυρομένων κτηνῶν ἐπὶ τῶν τροφίμων αὐτῶν.,τῶν,ὁ,art,gen pl n,the
187,5,ἀποδυρομένων κτηνῶν ἐπὶ τῶν τροφίμων αὐτῶν.,τροφίμων,τρόφιμος,adj,gen pl n subst,nurslings; young
187,6,ἀποδυρομένων κτηνῶν ἐπὶ τῶν τροφίμων αὐτῶν.,αὐτῶν,αὐτός,pron,gen pl n,their
188,1,καὶ γὰρ δάμαλις ὑπόμοσχος,καὶ,καί,conj,coord conj,and
188,2,καὶ γὰρ δάμαλις ὑπόμοσχος,γὰρ,γάρ,ptcl,postpos expl ptcl,for
188,3,καὶ γὰρ δάμαλις ὑπόμοσχος,δάμαλις,δάμαλις,noun,nom sg f,heifer
188,4,καὶ γὰρ δάμαλις ὑπόμοσχος,ὑπόμοσχος,ὑπόμοσχος,adj,nom sg f,with calf; pregnant
189,1,καὶ ἵππος ὑπόπωλος,καὶ,καί,conj,coord conj,and
189,2,καὶ ἵππος ὑπόπωλος,ἵππος,ἵππος,noun,nom sg m,horse
189,3,καὶ ἵππος ὑπόπωλος,ὑπόπωλος,ὑπόπωλος,adj,nom sg m,with foal; pregnant
190,1,καὶ τὰ λοιπὰ κτήνη λοχευόμενα καὶ σπαργῶντα,καὶ,καί,conj,coord conj,and
190,2,καὶ τὰ λοιπὰ κτήνη λοχευόμενα καὶ σπαργῶντα,τὰ,ὁ,art,nom pl n,the
190,3,καὶ τὰ λοιπὰ κτήνη λοχευόμενα καὶ σπαργῶντα,λοιπὰ,λοιπός,adj,nom pl n,remaining
190,4,καὶ τὰ λοιπὰ κτήνη λοχευόμενα καὶ σπαργῶντα,κτήνη,κτῆνος,noun,nom pl n,beasts
190,5,καὶ τὰ λοιπὰ κτήνη λοχευόμενα καὶ σπαργῶντα,λοχευόμενα,λοχεύω,ptcp,pres mp ptcp nom pl n,being in labor; giving birth
190,6,καὶ τὰ λοιπὰ κτήνη λοχευόμενα καὶ σπαργῶντα,καὶ,καί,conj,coord conj,and
190,7,καὶ τὰ λοιπὰ κτήνη λοχευόμενα καὶ σπαργῶντα,σπαργῶντα,σπαργάω,ptcp,pres act ptcp nom pl n,thrashing; writhing
191,1,πικρὸν καὶ ἐλεεινὸν ἀπωδύροντο ἐπὶ τῶν πρωτοτόκων καρπῶν.,πικρὸν,πικρός,adj,acc sg n,bitter
191,2,πικρὸν καὶ ἐλεεινὸν ἀπωδύροντο ἐπὶ τῶν πρωτοτόκων καρπῶν.,καὶ,καί,conj,coord conj,and
191,3,πικρὸν καὶ ἐλεεινὸν ἀπωδύροντο ἐπὶ τῶν πρωτοτόκων καρπῶν.,ἐλεεινὸν,ἐλεεινός,adj,acc sg n,piteous
191,4,πικρὸν καὶ ἐλεεινὸν ἀπωδύροντο ἐπὶ τῶν πρωτοτόκων καρπῶν.,ἀπωδύροντο,ἀποδύρομαι,verb,impf mid ind 3pl,they were lamenting
191,5,πικρὸν καὶ ἐλεεινὸν ἀπωδύροντο ἐπὶ τῶν πρωτοτόκων καρπῶν.,ἐπὶ,ἐπί,prep,+gen,over
191,6,πικρὸν καὶ ἐλεεινὸν ἀπωδύροντο ἐπὶ τῶν πρωτοτόκων καρπῶν.,τῶν,ὁ,art,gen pl m,the
191,7,πικρὸν καὶ ἐλεεινὸν ἀπωδύροντο ἐπὶ τῶν πρωτοτόκων καρπῶν.,πρωτοτόκων,πρωτότοκος,adj,gen pl m subst,firstborn
191,8,πικρὸν καὶ ἐλεεινὸν ἀπωδύροντο ἐπὶ τῶν πρωτοτόκων καρπῶν.,καρπῶν,καρπός,noun,gen pl m,fruits; offspring
192,1,"οἰμωγὴ δέ τις καὶ κοπετὸς ἐπὶ τῇ τῶν ἀνθρώπων ἀπωλείᾳ ἐγένετο,",οἰμωγὴ,οἰμωγή,noun,nom sg f,wailing
192,2,"οἰμωγὴ δέ τις καὶ κοπετὸς ἐπὶ τῇ τῶν ἀνθρώπων ἀπωλείᾳ ἐγένετο,",δέ,δέ,ptcl,postpos advrs ptcl,and; then
192,3,"οἰμωγὴ δέ τις καὶ κοπετὸς ἐπὶ τῇ τῶν ἀνθρώπων ἀπωλείᾳ ἐγένετο,",τις,τις,pron,indef pron nom sg f,a certain
192,4,"οἰμωγὴ δέ τις καὶ κοπετὸς ἐπὶ τῇ τῶν ἀνθρώπων ἀπωλείᾳ ἐγένετο,",καὶ,καί,conj,coord conj,and
192,5,"οἰμωγὴ δέ τις καὶ κοπετὸς ἐπὶ τῇ τῶν ἀνθρώπων ἀπωλείᾳ ἐγένετο,",κοπετὸς,κοπετός,noun,nom sg m,lamentation
192,6,"οἰμωγὴ δέ τις καὶ κοπετὸς ἐπὶ τῇ τῶν ἀνθρώπων ἀπωλείᾳ ἐγένετο,",ἐπὶ,ἐπί,prep,+dat,over
192,7,"οἰμωγὴ δέ τις καὶ κοπετὸς ἐπὶ τῇ τῶν ἀνθρώπων ἀπωλείᾳ ἐγένετο,",τῇ,ὁ,art,dat sg f,the
192,8,"οἰμωγὴ δέ τις καὶ κοπετὸς ἐπὶ τῇ τῶν ἀνθρώπων ἀπωλείᾳ ἐγένετο,",τῶν,ὁ,art,gen pl m,of the
192,9,"οἰμωγὴ δέ τις καὶ κοπετὸς ἐπὶ τῇ τῶν ἀνθρώπων ἀπωλείᾳ ἐγένετο,",ἀνθρώπων,ἄνθρωπος,noun,gen pl m,men
192,10,"οἰμωγὴ δέ τις καὶ κοπετὸς ἐπὶ τῇ τῶν ἀνθρώπων ἀπωλείᾳ ἐγένετο,",ἀπωλείᾳ,ἀπώλεια,noun,dat sg f,destruction
192,11,"οἰμωγὴ δέ τις καὶ κοπετὸς ἐπὶ τῇ τῶν ἀνθρώπων ἀπωλείᾳ ἐγένετο,",ἐγένετο,γίγνομαι,verb,aor mid ind 3sg,arose; came to be
193,1,ἐπὶ τῇ τῶν πρωτοτόκων νεκρῶν.,ἐπὶ,ἐπί,prep,+dat,over
193,2,ἐπὶ τῇ τῶν πρωτοτόκων νεκρῶν.,τῇ,ὁ,art,dat sg f,the
193,3,ἐπὶ τῇ τῶν πρωτοτόκων νεκρῶν.,τῶν,ὁ,art,gen pl m,of the
193,4,ἐπὶ τῇ τῶν πρωτοτόκων νεκρῶν.,πρωτοτόκων,πρωτότοκος,adj,gen pl m subst,firstborn
193,5,ἐπὶ τῇ τῶν πρωτοτόκων νεκρῶν.,νεκρῶν,νεκρός,adj,gen pl m subst,dead
194,1,ὅλη γὰρ ἐπώζεσεν Αἴγυπτος ἐπὶ τῶν ἀτάφων σωμάτων.,ὅλη,ὅλος,adj,nom sg f,whole
194,2,ὅλη γὰρ ἐπώζεσεν Αἴγυπτος ἐπὶ τῶν ἀτάφων σωμάτων.,γὰρ,γάρ,ptcl,postpos expl ptcl,for
194,3,ὅλη γὰρ ἐπώζεσεν Αἴγυπτος ἐπὶ τῶν ἀτάφων σωμάτων.,ἐπώζεσεν,<UNCERTAIN: ἐπώζω?>,verb,aor act ind 3sg,<UNCERTAIN: wailed?>
194,4,ὅλη γὰρ ἐπώζεσεν Αἴγυπτος ἐπὶ τῶν ἀτάφων σωμάτων.,Αἴγυπτος,Αἴγυπτος,propn,nom sg f,Egypt
194,5,ὅλη γὰρ ἐπώζεσεν Αἴγυπτος ἐπὶ τῶν ἀτάφων σωμάτων.,ἐπὶ,ἐπί,prep,+gen,over
194,6,ὅλη γὰρ ἐπώζεσεν Αἴγυπτος ἐπὶ τῶν ἀτάφων σωμάτων.,τῶν,ὁ,art,gen pl n,the
194,7,ὅλη γὰρ ἐπώζεσεν Αἴγυπτος ἐπὶ τῶν ἀτάφων σωμάτων.,ἀτάφων,ἄταφος,adj,gen pl n,unburied
194,8,ὅλη γὰρ ἐπώζεσεν Αἴγυπτος ἐπὶ τῶν ἀτάφων σωμάτων.,σωμάτων,σῶμα,noun,gen pl n,bodies
195,1,ἦν δὲ θεάσασθαι φοβερὸν θέαμα,ἦν,εἰμί,verb,impf act ind 3sg,it was
195,2,ἦν δὲ θεάσασθαι φοβερὸν θέαμα,δὲ,δέ,ptcl,postpos advrs ptcl,and; now
195,3,ἦν δὲ θεάσασθαι φοβερὸν θέαμα,θεάσασθαι,θεάομαι,verb,aor mid inf,to behold
195,4,ἦν δὲ θεάσασθαι φοβερὸν θέαμα,φοβερὸν,φοβερός,adj,acc sg n,fearful
195,5,ἦν δὲ θεάσασθαι φοβερὸν θέαμα,θέαμα,θέαμα,noun,acc sg n,spectacle
196,1,"τῶν Αἰγυπτίων μητέρας λυσικόμους,",τῶν,ὁ,art,gen pl m,of the
196,2,"τῶν Αἰγυπτίων μητέρας λυσικόμους,",Αἰγυπτίων,Αἰγύπτιος,noun,gen pl m,Egyptians
196,3,"τῶν Αἰγυπτίων μητέρας λυσικόμους,",μητέρας,μήτηρ,noun,acc pl f,mothers
196,4,"τῶν Αἰγυπτίων μητέρας λυσικόμους,",λυσικόμους,λυσικόμος,adj,acc pl f,with loosened hair
197,1,"πατέρας λυσίφρονας,",πατέρας,πατήρ,noun,acc pl m,fathers
197,2,"πατέρας λυσίφρονας,",λυσίφρονας,λυσίφρων,adj,acc pl m,bereft of sense; distraught
198,1,δεινὸν ἀνακωκύοντας τῇ αἰγυπτιακῇ φωνῇ·,δεινὸν,δεινός,adv,adv,terribly
198,2,δεινὸν ἀνακωκύοντας τῇ αἰγυπτιακῇ φωνῇ·,ἀνακωκύοντας,ἀνακωκύω,ptcp,pres act ptcp acc pl m,wailing aloud
198,3,δεινὸν ἀνακωκύοντας τῇ αἰγυπτιακῇ φωνῇ·,τῇ,ὁ,art,dat sg f,the
198,4,δεινὸν ἀνακωκύοντας τῇ αἰγυπτιακῇ φωνῇ·,αἰγυπτιακῇ,αἰγυπτιακός,adj,dat sg f,Egyptian
198,5,δεινὸν ἀνακωκύοντας τῇ αἰγυπτιακῇ φωνῇ·,φωνῇ,φωνή,noun,dat sg f,voice
199,1,Δυστυχεῖς ἠτεκνώμεθα ὑπὸ μίαν ῥοπὴν ἀπὸ τοῦ πρωτοτόκου καρποῦ.,Δυστυχεῖς,δυστυχής,adj,nom pl m/f,wretched
199,2,Δυστυχεῖς ἠτεκνώμεθα ὑπὸ μίαν ῥοπὴν ἀπὸ τοῦ πρωτοτόκου καρποῦ.,ἠτεκνώμεθα,ἀτεκνόομαι,verb,aor pass ind 1pl,we were made childless
199,3,Δυστυχεῖς ἠτεκνώμεθα ὑπὸ μίαν ῥοπὴν ἀπὸ τοῦ πρωτοτόκου καρποῦ.,ὑπὸ,ὑπό,prep,+acc,within; in the space of
199,4,Δυστυχεῖς ἠτεκνώμεθα ὑπὸ μίαν ῥοπὴν ἀπὸ τοῦ πρωτοτόκου καρποῦ.,μίαν,εἷς,adj,acc sg f,one
199,5,Δυστυχεῖς ἠτεκνώμεθα ὑπὸ μίαν ῥοπὴν ἀπὸ τοῦ πρωτοτόκου καρποῦ.,ῥοπὴν,ῥοπή,noun,acc sg f,moment; instant
199,6,Δυστυχεῖς ἠτεκνώμεθα ὑπὸ μίαν ῥοπὴν ἀπὸ τοῦ πρωτοτόκου καρποῦ.,ἀπὸ,ἀπό,prep,+gen,from; of
199,7,Δυστυχεῖς ἠτεκνώμεθα ὑπὸ μίαν ῥοπὴν ἀπὸ τοῦ πρωτοτόκου καρποῦ.,τοῦ,ὁ,art,gen sg m,the
199,8,Δυστυχεῖς ἠτεκνώμεθα ὑπὸ μίαν ῥοπὴν ἀπὸ τοῦ πρωτοτόκου καρποῦ.,πρωτοτόκου,πρωτότοκος,adj,gen sg m subst,firstborn
199,9,Δυστυχεῖς ἠτεκνώμεθα ὑπὸ μίαν ῥοπὴν ἀπὸ τοῦ πρωτοτόκου καρποῦ.,καρποῦ,καρπός,noun,gen sg m,offspring
201,1,"ἦσαν δὲ ἐπὶ μασθῶν κοπτόμενοι,",ἦσαν,εἰμί,verb,impf act ind 3pl,they were
201,2,"ἦσαν δὲ ἐπὶ μασθῶν κοπτόμενοι,",δὲ,δέ,ptcl,postpos advrs ptcl,and
201,3,"ἦσαν δὲ ἐπὶ μασθῶν κοπτόμενοι,",ἐπὶ,ἐπί,prep,+gen,upon
201,4,"ἦσαν δὲ ἐπὶ μασθῶν κοπτόμενοι,",μασθῶν,μασθός,noun,gen pl m,breasts
201,5,"ἦσαν δὲ ἐπὶ μασθῶν κοπτόμενοι,",κοπτόμενοι,κόπτω,ptcp,pres mp ptcp nom pl m,beating themselves; lamenting
202,1,χερσὶν τύπτοντες κροτήματα ἐπὶ τῆς τῶν νεκρῶν ὀρχήσεως.,χερσὶν,χείρ,noun,dat pl f,with hands
202,2,χερσὶν τύπτοντες κροτήματα ἐπὶ τῆς τῶν νεκρῶν ὀρχήσεως.,τύπτοντες,τύπτω,ptcp,pres act ptcp nom pl m,striking
202,3,χερσὶν τύπτοντες κροτήματα ἐπὶ τῆς τῶν νεκρῶν ὀρχήσεως.,κροτήματα,κρότημα,noun,acc pl n,clappings; beats
202,4,χερσὶν τύπτοντες κροτήματα ἐπὶ τῆς τῶν νεκρῶν ὀρχήσεως.,ἐπὶ,ἐπί,prep,+gen,over; at
202,5,χερσὶν τύπτοντες κροτήματα ἐπὶ τῆς τῶν νεκρῶν ὀρχήσεως.,τῆς,ὁ,art,gen sg f,the
202,6,χερσὶν τύπτοντες κροτήματα ἐπὶ τῆς τῶν νεκρῶν ὀρχήσεως.,τῶν,ὁ,art,gen pl m,of the
202,7,χερσὶν τύπτοντες κροτήματα ἐπὶ τῆς τῶν νεκρῶν ὀρχήσεως.,νεκρῶν,νεκρός,adj,gen pl m subst,dead
202,8,χερσὶν τύπτοντες κροτήματα ἐπὶ τῆς τῶν νεκρῶν ὀρχήσεως.,ὀρχήσεως,ὀρχήσις,noun,gen sg f,dance
204,1,"Τοιαύτη συμφορὰ περιέσχεν Αἴγυπτον,",Τοιαύτη,τοιοῦτος,adj,nom sg f,such
204,2,"Τοιαύτη συμφορὰ περιέσχεν Αἴγυπτον,",συμφορὰ,συμφορά,noun,nom sg f,disaster
204,3,"Τοιαύτη συμφορὰ περιέσχεν Αἴγυπτον,",περιέσχεν,περιέχω,verb,aor act ind 3sg,encompassed; seized
